temps (s);temps (ms);temps;ACTU;T2;LASER
1.296;1296;19497;23.62;23.45;23.18
1.301;1301;19502;23.71;23.45;23.18
1.304;1304;19505;23.71;23.45;23.18
1.307;1307;19508;23.71;23.45;23.18
1.31;1310;19511;23.71;23.45;23.18
1.313;1313;19514;23.71;23.45;23.18
1.316;1316;19517;23.71;23.45;23.18
1.32;1320;19521;23.71;23.45;23.18
1.323;1323;19524;23.71;23.45;23.18
1.326;1326;19527;23.71;23.45;23.18
1.329;1329;19530;23.71;23.45;23.18
1.332;1332;19533;23.71;23.45;23.18
1.335;1335;19536;23.71;23.45;23.18
1.338;1338;19539;23.71;23.45;23.18
1.343;1343;19544;23.71;23.45;23.18
1.346;1346;19547;23.71;23.45;23.18
1.349;1349;19550;23.71;23.36;23.18
1.352;1352;19553;23.71;23.45;23.18
1.355;1355;19556;23.71;23.45;23.18
1.358;1358;19559;23.71;23.45;23.18
1.362;1362;19563;23.71;23.45;23.18
1.365;1365;19566;23.71;23.45;23.18
1.368;1368;19569;23.71;23.45;23.18
1.371;1371;19572;23.71;23.45;23.18
1.374;1374;19575;23.71;23.45;23.18
1.377;1377;19578;23.71;23.45;23.18
1.38;1380;19581;23.71;23.45;23.18
1.385;1385;19586;23.71;23.45;23.18
1.388;1388;19589;23.71;23.36;23.18
1.391;1391;19592;23.71;23.45;23.18
1.394;1394;19595;23.71;23.45;23.18
1.397;1397;19598;23.62;23.45;23.18
1.4;1400;19601;23.71;23.45;23.18
1.404;1404;19605;23.71;23.45;23.18
1.407;1407;19608;23.71;23.45;23.18
1.41;1410;19611;23.71;23.45;23.18
1.413;1413;19614;23.71;23.45;23.18
1.416;1416;19617;23.71;23.45;23.18
1.419;1419;19620;23.71;23.45;23.18
1.422;1422;19623;23.71;23.45;23.18
1.427;1427;19628;23.71;23.45;23.18
1.43;1430;19631;23.71;23.45;23.18
1.433;1433;19634;23.71;23.45;23.18
1.436;1436;19637;23.71;23.45;23.18
1.439;1439;19640;23.71;23.45;23.18
1.442;1442;19643;23.71;23.45;23.18
1.446;1446;19647;23.71;23.45;23.18
1.449;1449;19650;23.71;23.45;23.18
1.452;1452;19653;23.71;23.45;23.18
1.455;1455;19656;23.71;23.45;23.18
1.458;1458;19659;23.71;23.45;23.18
1.461;1461;19662;23.71;23.45;23.18
1.464;1464;19665;23.71;23.45;23.18
1.469;1469;19670;23.71;23.45;23.18
1.472;1472;19673;23.71;23.45;23.09
1.475;1475;19676;23.71;23.45;23.18
1.478;1478;19679;23.71;23.45;23.18
1.481;1481;19682;23.71;23.45;23.18
1.484;1484;19685;23.71;23.45;23.18
1.488;1488;19689;23.71;23.45;23.18
1.491;1491;19692;23.71;23.45;23.18
1.494;1494;19695;23.71;23.45;23.18
1.497;1497;19698;23.71;23.45;23.18
1.5;1500;19701;23.71;23.45;23.18
1.503;1503;19704;23.71;23.45;23.09
1.506;1506;19707;23.71;23.45;23.18
1.511;1511;19712;23.71;23.45;23.18
