temps (s);temps (ms);temps;ACTU;MILIEU;LASER
144.946;144946;147972;44.63;35.51;31.82
145.448;145448;148474;44.75;35.61;31.92
145.952;145952;148978;44.75;35.61;32.01
146.455;146455;149481;44.75;35.71;32.01
146.959;146959;149985;44.87;35.71;32.01
147.462;147462;150488;44.87;35.81;32.11
147.965;147965;150991;44.87;35.81;32.11
148.468;148468;151494;44.87;35.81;32.11
148.972;148972;151998;44.87;35.91;32.20
149.475;149475;152501;44.99;35.91;32.30
149.979;149979;153005;44.99;36.01;32.30
150.481;150481;153507;44.99;36.01;32.30
150.985;150985;154011;44.99;36.01;32.39
151.488;151488;154514;44.99;36.11;32.39
151.992;151992;155018;45.11;36.11;32.49
152.495;152495;155521;45.11;36.21;32.49
152.998;152998;156024;45.11;36.21;32.58
153.501;153501;156527;45.11;36.31;32.58
154.005;154005;157031;45.22;36.31;32.68
154.509;154509;157535;45.22;36.31;32.68
155.012;155012;158038;45.22;36.41;32.78
155.515;155515;158541;45.22;36.41;32.78
156.018;156018;159044;45.34;36.51;32.87
156.522;156522;159548;45.34;36.51;32.87
157.025;157025;160051;45.34;36.61;32.87
157.529;157529;160555;45.34;36.61;32.97
158.031;158031;161057;45.34;36.61;32.97
158.535;158535;161561;45.34;36.71;33.06
159.038;159038;162064;45.34;36.71;33.06
159.542;159542;162568;45.34;36.71;33.16
160.044;160044;163070;45.46;36.82;33.16
160.548;160548;163574;45.34;36.82;33.16
161.051;161051;164077;45.46;36.92;33.26
161.555;161555;164581;45.46;36.92;33.26
162.058;162058;165084;45.46;36.92;33.35
162.561;162561;165587;45.46;37.02;33.35
163.064;163064;166090;45.46;37.02;33.35
163.568;163568;166594;45.46;37.12;33.45
164.071;164071;167097;45.46;37.12;33.45
164.575;164575;167601;45.46;37.22;33.55
165.077;165077;168103;45.46;37.22;33.55
165.581;165581;168607;45.58;37.22;33.64
166.084;166084;169110;45.58;37.33;33.64
166.588;166588;169614;45.58;37.33;33.74
167.091;167091;170117;45.58;37.43;33.74
167.594;167594;170620;45.58;37.43;33.74
168.097;168097;171123;45.58;37.43;33.84
168.601;168601;171627;45.58;37.53;33.84
169.104;169104;172130;45.70;37.53;33.93
169.608;169608;172634;45.58;37.53;33.93
170.11;170110;173136;45.70;37.53;34.03
170.614;170614;173640;45.70;37.63;34.03
171.117;171117;174143;45.70;37.63;34.03
171.621;171621;174647;45.70;37.74;34.13
172.125;172125;175151;45.70;37.74;34.13
172.627;172627;175653;45.82;37.74;34.23
173.131;173131;176157;45.82;37.84;34.23
173.634;173634;176660;45.82;37.84;34.23
174.138;174138;177164;45.82;37.94;34.33
174.641;174641;177667;45.82;37.94;34.33
175.144;175144;178170;45.82;37.94;34.33
175.647;175647;178673;45.94;38.05;34.42
176.151;176151;179177;45.94;38.05;34.42
176.654;176654;179680;45.94;38.05;34.42
177.158;177158;180184;45.94;38.15;34.52
177.66;177660;180686;45.94;38.15;34.52
178.164;178164;181190;45.94;38.15;34.52
178.667;178667;181693;46.06;38.15;34.62
179.171;179171;182197;46.06;38.15;34.62
179.674;179674;182700;46.06;38.25;34.72
180.177;180177;183203;46.06;38.25;34.72
180.68;180680;183706;46.06;38.25;34.72
181.184;181184;184210;46.06;38.36;34.82
181.687;181687;184713;46.06;38.36;34.82
182.191;182191;185217;46.06;38.46;34.82
182.693;182693;185719;46.18;38.46;34.82
183.197;183197;186223;46.18;38.46;34.91
183.7;183700;186726;46.18;38.57;34.91
184.204;184204;187230;46.18;38.57;35.01
184.706;184706;187732;46.18;38.57;35.01
185.21;185210;188236;46.18;38.57;35.01
185.714;185714;188740;46.30;38.67;35.11
186.217;186217;189243;46.30;38.67;35.11
186.721;186721;189747;46.30;38.67;35.11
187.223;187223;190249;46.30;38.78;35.11
187.727;187727;190753;46.30;38.78;35.11
188.23;188230;191256;46.30;38.78;35.21
188.734;188734;191760;46.30;38.78;35.21
189.237;189237;192263;46.30;38.88;35.21
189.74;189740;192766;46.30;38.88;35.31
190.243;190243;193269;46.30;38.88;35.31
190.747;190747;193773;46.30;38.88;35.31
191.25;191250;194276;46.43;38.99;35.41
191.754;191754;194780;46.43;38.99;35.41
192.256;192256;195282;46.43;39.09;35.41
192.76;192760;195786;46.43;39.09;35.41
193.263;193263;196289;46.43;39.09;35.51
193.767;193767;196793;46.43;39.09;35.51
194.271;194271;197297;46.43;39.20;35.51
194.773;194773;197799;46.43;39.20;35.61
195.276;195276;198302;46.43;39.30;35.61
195.78;195780;198806;46.43;39.30;35.61
196.284;196284;199310;46.43;39.30;35.71
196.787;196787;199813;46.43;39.41;35.71
197.29;197290;200316;46.43;39.41;35.81
197.793;197793;200819;46.43;39.41;35.81
198.297;198297;201323;46.43;39.41;35.81
198.8;198800;201826;46.43;39.41;35.81
199.304;199304;202330;46.43;39.51;35.91
199.806;199806;202832;46.43;39.51;35.91
200.31;200310;203336;46.43;39.62;35.91
200.813;200813;203839;46.43;39.62;35.91
201.317;201317;204343;46.43;39.62;35.91
201.82;201820;204846;46.43;39.62;36.01
202.323;202323;205349;46.55;39.73;36.01
202.826;202826;205852;46.55;39.73;36.01
203.33;203330;206356;46.55;39.73;36.11
203.834;203834;206860;46.55;39.83;36.11
204.337;204337;207363;46.55;39.83;36.11
204.84;204840;207866;46.55;39.83;36.11
205.343;205343;208369;46.55;39.83;36.21
205.847;205847;208873;46.55;39.94;36.21
206.35;206350;209376;46.55;39.94;36.21
206.854;206854;209880;46.67;39.94;36.31
207.356;207356;210382;46.55;40.05;36.31
207.86;207860;210886;46.55;40.05;36.31
208.363;208363;211389;46.67;40.05;36.41
208.867;208867;211893;46.67;40.05;36.41
209.37;209370;212396;46.67;40.05;36.41
209.873;209873;212899;46.67;40.15;36.51
210.376;210376;213402;46.67;40.15;36.51
210.88;210880;213906;46.67;40.15;36.51
211.383;211383;214409;46.55;40.26;36.51
211.887;211887;214913;46.67;40.26;36.61
212.389;212389;215415;46.67;40.26;36.61
212.893;212893;215919;46.67;40.37;36.61
213.396;213396;216422;46.67;40.37;36.61
213.9;213900;216926;46.67;40.37;36.71
214.402;214402;217428;46.67;40.37;36.71
214.906;214906;217932;46.67;40.37;36.71
215.41;215410;218436;46.67;40.48;36.82
215.913;215913;218939;46.67;40.48;36.82
216.417;216417;219443;46.67;40.48;36.82
216.919;216919;219945;46.67;40.59;36.82
217.423;217423;220449;46.67;40.59;36.82
217.926;217926;220952;46.79;40.59;36.92
218.43;218430;221456;46.79;40.59;36.92
218.933;218933;221959;46.79;40.69;36.92
219.436;219436;222462;46.79;40.69;36.92
219.939;219939;222965;46.79;40.69;37.02
220.443;220443;223469;46.79;40.69;37.02
220.946;220946;223972;46.79;40.69;37.02
221.45;221450;224476;46.79;40.80;37.02
221.952;221952;224978;46.79;40.80;37.12
222.456;222456;225482;46.79;40.80;37.12
222.96;222960;225986;46.79;40.80;37.12
223.463;223463;226489;46.79;40.80;37.12
223.967;223967;226993;46.79;40.91;37.22
224.469;224469;227495;46.79;40.91;37.22
224.973;224973;227999;46.79;40.91;37.22
225.476;225476;228502;46.79;40.91;37.33
225.98;225980;229006;46.79;41.02;37.33
226.483;226483;229509;46.79;41.02;37.33
226.986;226986;230012;46.79;41.02;37.33
227.489;227489;230515;46.79;41.02;37.43
227.993;227993;231019;46.79;41.13;37.43
228.496;228496;231522;46.91;41.13;37.43
229;229000;232026;46.91;41.13;37.43
229.503;229503;232529;46.91;41.13;37.53
230.006;230006;233032;46.91;41.24;37.53
230.51;230510;233536;46.91;41.24;37.53
231.013;231013;234039;46.91;41.24;37.53
231.517;231517;234543;46.91;41.35;37.63
232.019;232019;235045;46.91;41.35;37.63
232.523;232523;235549;46.91;41.35;37.63
233.026;233026;236052;46.91;41.35;37.63
233.53;233530;236556;46.91;41.35;37.74
234.033;234033;237059;46.91;41.46;37.74
234.536;234536;237562;46.91;41.46;37.74
235.039;235039;238065;46.91;41.46;37.74
235.543;235543;238569;46.91;41.57;37.74
236.047;236047;239073;46.91;41.57;37.74
236.55;236550;239576;46.91;41.57;37.74
237.053;237053;240079;46.91;41.57;37.84
237.556;237556;240582;46.91;41.57;37.84
